code,term
10588007,Perinatal death
106012007,"Hypoxia, asphyxia AND/OR other respiratory condition of fetus AND/OR newborn"
10877007,Perinatal jaundice due to hepatocellular damage
111466004,Perinatal partial atelectasis
111467008,Fetal OR neonatal hemorrhage
12301009,Neonatal urinary tract infection
12546009,Hemorrhagic disease of the newborn due to vitamin K deficiency
126945001,Perinatal anoxic-ischemic brain injury
12901004,Transitory neonatal electrolyte disturbance
13094009,Apnea in newborn
133906008,Postpartum care
13629008,Hypothermia of newborn
13795004,Neonatal thyrotoxicosis
13842006,Subinvolution of uterus in puerperium
14333004,Alloimmune neonatal neutropenia
160763002,Midwife attends
160764008,Midwife attends 1-10 days post-discharge
160765009,Midwife attends 11-13 days post-discharge
160766005,Midwife attends 14-16 days post-discharge
160767001,Midwife attends 17-20 days post-discharge
160768006,Midwife attends 21-24 days post-discharge
160769003,Midwife attends 25-28 days post-discharge
169754006,Postnatal care provider
169755007,P/N care from consultant
169756008,Postnatal care from general practitioner
169757004,P/N - shared care
169762003,Postnatal visit
169763008,Postnatal - first day visit
169764002,Postnatal - second day visit
169765001,Postnatal - third day visit
169766000,Postnatal - fourth day visit
169767009,Postnatal - fifth day visit
169768004,Postnatal - sixth day visit
169769007,Postnatal - seventh day visit
169770008,Postnatal - eighth day visit
169771007,Postnatal - ninth day visit
169772000,Postnatal - tenth day visit
169773005,P/N care started at birth
169774004,Postnatal care less than 48 hours after birth
169775003,Postnatal care greater than 48 hours after birth
169783009,Postnatal examination minor problem found
169784003,Postnatal examination normal
169947009,Difficult to establish feeding
170107008,Child examination - 10 days
170108003,Child not examined at 10 days
170109006,Child 10 day examination - normal
170110001,10 day examination abnormal - for observation
170111002,10 day examination abnormal - referred
170114005,Child examination - 6 weeks
170118008,Child 6 week examination normal
170119000,6 week examination abnormal - for observation
170120006,6 week examination abnormal - referred
170121005,6 week examination abnormal - on treatment
170300004,Child 8 week examination
170305009,Child 8 week examination normal
170306005,8 week examination abnormal - for observation
170307001,8 week examination abnormal - referred
170308006,8 week examination abnormal - on treatment
17140000,Neonatal jaundice due to delayed conjugation
178280004,Postnatal infection
17849001,Respiratory condition of fetus OR newborn
180202002,Neonatal exchange transfusion
183861004,Referral to postnatal clinic
18503002,Perinatal cutaneous hemorrhage
185266004,Seen in postnatal clinic
185531000000104,Neonatal check enhanced services administration
185541000000108,Neonatal check enhanced service completed
191345000,Acquired neutropenia in newborn
192990004,Benign myoclonic epilepsy in infancy
193994000,Congenital nasolacrimal duct obstruction
194943002,Acute aseptic myocarditis of the newborn
198609003,"Complication of pregnancy, childbirth and/or puerperium"
198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
198952001,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
198966006,Transient hypertension of pregnancy - delivered with postnatal complication
198968007,Transient hypertension of pregnancy with postnatal complication
198984008,Severe pre-eclampsia - delivered with postnatal complication
198986005,Severe pre-eclampsia with postnatal complication
198991006,Eclampsia - delivered with postnatal complication
198993009,Eclampsia with postnatal complication
199000005,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication
199003007,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
199015006,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
199018008,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
199100007,Asymptomatic bacteriuria in pregnancy - delivered with postnatal complication
