code,term
10383002,Counseling for termination of pregnancy
111431001,Legal abortion complicated by damage to pelvic organs AND/OR tissues
176849008,Introduction of abortifacient into uterine cavity
176850008,Intra-amniotic prostaglandin instillation
176852000,Extra-amniotic prostaglandin instillation
176854004,Insertion of prostaglandin abortifacient suppository
177095006,Early selective feticide
177096007,Late selective feticide
18302006,Therapeutic abortion by hysterotomy
183606009,Referral for counseling for termination of pregnancy
198705001,Incomplete legal abortion with genital tract or pelvic infection
198706000,Incomplete legal abortion with delayed or excessive hemorrhage
198707009,Incomplete legal abortion with damage to pelvic organs or tissues
198708004,Incomplete legal abortion with renal failure
198709007,Incomplete legal abortion with metabolic disorder
198710002,Incomplete legal abortion with shock
198711003,Incomplete legal abortion with embolism
198718009,Complete legal abortion with genital tract or pelvic infection
198719001,Complete legal abortion with delayed or excessive hemorrhage
198720007,Complete legal abortion with damage to pelvic organs or tissues
198721006,Complete legal abortion with renal failure
198722004,Complete legal abortion with metabolic disorder
198723009,Complete legal abortion with shock
198724003,Complete legal abortion with embolism
198743003,Illegal abortion incomplete
198744009,Incomplete illegal abortion with genital tract or pelvic infection
198745005,Incomplete illegal abortion with delayed or excessive hemorrhage
198746006,Incomplete illegal abortion with damage to pelvic organs or tissues
198747002,Incomplete illegal abortion with renal failure
198748007,Incomplete illegal abortion with metabolic disorder
198749004,Incomplete illegal abortion with shock
198750004,Incomplete illegal abortion with embolism
198755009,Illegal abortion complete
198756005,Complete illegal abortion with genital tract or pelvic infection
198757001,Complete illegal abortion with delayed or excessive hemorrhage
198758006,Complete illegal abortion with damage to pelvic organs or tissues
198759003,Complete illegal abortion with renal failure
198760008,Complete illegal abortion with metabolic disorder
198761007,Complete illegal abortion with shock
198762000,Complete illegal abortion with embolism
198806007,Failed attempted abortion with genital tract or pelvic infection
198807003,Failed attempted abortion with delayed or excessive hemorrhage
198808008,Failed attempted abortion with damage to pelvic organs or tissues
198809000,Failed attempted abortion with renal failure
198810005,Failed attempted abortion with metabolic disorder
198811009,Failed attempted abortion with shock
198812002,Failed attempted abortion with embolism
198862007,"Readmission for retained products of conception, legal abortion"
198863002,"Readmission for retained products of conception, illegal abortion"
198874006,"Failed medical abortion, complicated by genital tract and pelvic infection"
198875007,"Failed medical abortion, complicated by delayed or excessive hemorrhage"
198876008,"Failed medical abortion, complicated by embolism"
198878009,"Failed medical abortion, without complication"
206035009,Fetal or neonatal effect of maternal complication of pregnancy
225326008,Counseling following termination of pregnancy
225327004,Counseling prior to the termination of pregnancy
240280006,Fetal reduction or destruction procedure
265633004,Selective destruction of fetus
267193004,Incomplete legal abortion
267194005,Complete legal abortion
27169005,Legal abortion complicated by shock
274973002,Dilation of cervix uteri and curettage for termination of pregnancy
285434006,Insertion of abortifacient suppository
29682007,Dilation and curettage for termination of pregnancy
310506006,Reason for termination of pregnancy
31207002,Self-induced abortion
34500003,Legal abortion without complication
3634007,Legal abortion complicated by metabolic disorder
373901007,Legal abortion complicated by genital-pelvic infection
386639001,Termination of pregnancy
386641000,Therapeutic abortion procedure
391897002,Aspiration curettage of uterus for termination of pregnancy
39406005,Legally induced abortion
439741000000107,[V]Admission for administration of abortifacient
444361000000109,[V]Menstrual extraction
4576001,Legal abortion complicated by renal failure
48433002,Legal abortion with complication
49416000,Failed attempted abortion
49632008,Illegally induced abortion
57734001,Legal abortion complicated by embolism
58071009,Legal abortion complicated by delayed AND/OR excessive hemorrhage
609446006,Induced termination of pregnancy with complication
609492009,Induced termination of pregnancy without complication
67313008,Fetal death due to termination of pregnancy
749781000000109,Incomplete termination of pregnancy
906211000000103,Destruction of fetus
